Informazioni cronologiche,Punteggio,Ti senti rappresentato dalla Politica attuale?,Potresti descriverci il motivo della tua risposta? (Facoltativo)
19/11/2022 12.11.06,,"No, Non mi sento rappresentato",Nessun partito sembra avere un piano a lungo termine o una visione coerente per il futuro. Sembrano essere distratti o in vaporosi ideali irrealizzabili al meglio e poco rilevanti ai problemi più urgenti al peggio oppure concentrati su un populismo cinico e materialista volto ad ottenere voti e che promette vantaggi a breve termine compromettendo il paese a lungo termine. La filosofia e la terminologia non si sono evoluti per restare al passo coi tempi e per descrivere i nuovi problemi e la situazione corrente. L'impressione è quella di una farsa messa in scena per il pubblico da attori mendaci e disinteressati a tutto meno che potere e guadagno personale.
19/11/2022 12.11.47,,"Abbastanza,  Non mi sento pienamente rappresentato","La politica italiana, da tangentopoli in poi, ha subito un tracollo disastroso. La popolazione si è resa conto di chi fossero i politici che per 40 anni hanno governato il nostro Paese, quindi hanno provato a dare fiducia al nuovo, che nel 94 era Berlusconi, nel 2018 erano i 5Stelle e ora Fratelli d'italia. Quindi non si è mai scelto il migliore, nemmeno il meno peggio, si è sempre scelto quel partito che fino a quel momento non aveva governato l'Italia, sperando che potesse fare meglio dei precedenti governi. Cosa che puntualmente venne sfatata, arrivando al punto che nell'ultima tornata elettorale hanno votato meno di 2 italiani su tre."
19/11/2022 12.19.31,,"No, Non mi sento rappresentato",
19/11/2022 12.22.32,,"No, Non mi sento rappresentato",Nessun partito tra quelli di maggioranza riesce davvero a parlare in maniera convincente al bacino elettorale degli under 35
19/11/2022 12.23.28,,"Abbastanza,  Non mi sento pienamente rappresentato",
19/11/2022 12.27.59,,"No, Non mi sento rappresentato","Penso che ci sia una distanza considerevole tra quello che fa la politica e l'esigenze del paese. La mancanza di una struttura che tenga il cittadino adeguatamente informato su i motivi e i processi delle varie leggi e riforme concorre alla percezione di questa lontananza. Pare che interessi di più parlare di temi secondari o terziari per propaganda, che risolvere i problemi. Forse perché per la risoluzione di essi servono sacrifici che nessuno è disposto a compiere."
19/11/2022 12.29.57,,"No, Non mi sento rappresentato",
19/11/2022 12.30.15,,"No, Non mi sento rappresentato",
19/11/2022 12.31.36,,"No, Non mi sento rappresentato","Oggigiorno la politica ha perso molta forza, attrattività e capacità d'azione poiché lei stessa ha creato una condizione di scollamento con la base elettorale per via della sua malagestione e delle sue scelte sempre meno di natura popolare. "
19/11/2022 12.32.31,,"Abbastanza,  Non mi sento pienamente rappresentato",
19/11/2022 12.32.54,,"No, Non mi sento rappresentato",I politici sono troppo preoccupati di accontentare litagliano medio e quindi avanzare proposte che non hanno una rilevanza per il bene comune o addirittura dannose. 
19/11/2022 12.33.23,,"No, Non mi sento rappresentato",Quando c'era lvi era meliglio
19/11/2022 12.39.25,,"No, Non mi sento rappresentato",
19/11/2022 12.41.03,,"No, Non mi sento rappresentato",
19/11/2022 12.42.51,,"Abbastanza,  Non mi sento pienamente rappresentato",
19/11/2022 13.15.35,,"No, Non mi sento rappresentato",
19/11/2022 13.16.37,,"No, Non mi sento rappresentato",
19/11/2022 13.20.17,,"Abbastanza,  Non mi sento pienamente rappresentato",
19/11/2022 13.20.37,,"Abbastanza,  Non mi sento pienamente rappresentato",
19/11/2022 13.32.06,,"Abbastanza,  Non mi sento pienamente rappresentato","La strada è quella giusta, potere alla democrazia"
19/11/2022 13.45.15,,"No, Non mi sento rappresentato",
19/11/2022 14.14.01,,"Abbastanza,  Non mi sento pienamente rappresentato",Essendo di destra tendo a sentirmi abbastanza rappresentato ma non del tutto visto che non mi ritrovo in molte delle argomentazioni che vengono proposte e ci sono vari problemi di cui non si discute che sarebbe molto importante affrontare.
19/11/2022 14.46.12,,Non seguo la politica,
19/11/2022 14.55.28,,"No, Non mi sento rappresentato","Io liberale. Alle ultime elezioni ho votato Meloni.
La decisione era la seguente: votare per dei babbioni di sinistra o votare per dei fascisti che fanno qualcosa? Ebbene si è votato i fascisti. Perchè? In primis, un partito liberale in Italia praticamente non esiste, dunque vai a vedere cosa offre la sinistra, un tipo che in campagna elettorale dice che il guanciale è meglio del bacon e votalo per quello. Ciaone, e dunque saluto la Meloni (ahimè)."
19/11/2022 16.01.18,,"Abbastanza,  Non mi sento pienamente rappresentato",
19/11/2022 16.16.01,,"No, Non mi sento rappresentato",
19/11/2022 18.08.27,,"No, Non mi sento rappresentato","Per la maggiore c'è una carenza di partiti allineati con i miei principi e posizioni, assieme ad alienamento sociale e disillusione."
19/11/2022 19.02.33,,Non seguo la politica,
19/11/2022 19.49.32,,"Si, Mi sento rappresentato",
19/11/2022 23.03.58,,"No, Non mi sento rappresentato","Non esiste un partito istituito sull’interesse de popolo giovanile, perché non è la gran parte dell’elettorato.
Quindi non esiste una rappresentanza per me"
19/11/2022 23.06.56,,"No, Non mi sento rappresentato",Viva terzo polo
20/11/2022 12.26.20,,"No, Non mi sento rappresentato",
21/11/2022 13.53.34,,Non seguo la politica,
